Thuis;Uit;datum;vertrek;aanvang;zaal;Home
BBC Koksijde HSE A;BBC Koksijde HSE ;03/08/2018;;2030;Gemeentelijke sporthal Koksijde;scrimmage
BBC Koksijde HSE A;Basket Meetjesland HSE A;11/08/2018;;2030;Gemeentelijke sporthal Koksijde;BBC Koksijde OEFEN
BBC Koksijde HSE A;Avanti Brugge;29/08/2018;;2030;Gemeentelijke sporthal Koksijde;BBC Koksijde OEFEN
Vk Iebac Ieper HSE A;BBC Koksijde HSE A;05/09/2018;1815;2000;Zaal VK Iebac;Vk Iebac Ieper OEFEN
BC Knokke-Heist HSE A;BBC Koksijde HSE A;08/09/2018;1845;2045;De Stormmeeuw;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;Basket HEXIA ZwevegemDeerlijk HSE B;15/09/2018;;2030;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
Mibac Middelkerke HSE A;BBC Koksijde HSE A;22/09/2018;1845;2030;Sporhal De Branding;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;BC Kortrijk Sport HSE B;06/10/2018;;1930;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
BT Holstra Wevelgem-Moorsele HSE A;BBC Koksijde HSE A;13/10/2018;1815;2015;Evenementenhal De Schelp;1e Prov. Heren West-Vlaanderen
Basket Sijsele HSE B;BBC Koksijde HSE A;20/10/2018;1530;1730;Sportpark 't Veld;1e Prov. Heren West-Vlaanderen
1e BWVHSEPA;BBC Koksijde HSE A;26/10/2018;;;;Beker West-Vlaanderen Heren Seniors 1/16 finale
BBC Koksijde HSE A;Basketclub Red Sharks Koekelare HSE A;03/11/2018;;2000;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
BC Crelan Kortrijk HSE A;BBC Koksijde HSE A;11/11/2018;1450;1700;Sporthal Lange Munte;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;BBC Poperinge HSE A;17/11/2018;;2030;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
"""Au Pingouin"" Basket Blankenberge HSE A";BBC Koksijde HSE A;24/11/2018;1825;2030;Zaal d'Hoogploate;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;Wytewa Roeselare HSE A;01/12/2018;;1930;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
KBBC Wikings Kortrijk HSE A;BBC Koksijde HSE A;09/12/2018;825;1030;Lagae Plein;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;Racing Brugge HSE B;15/12/2018;;2000;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;BC Knokke-Heist HSE A;05/01/2019;;1930;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
Basket HEXIA ZwevegemDeerlijk HSE B;BBC Koksijde HSE A;13/01/2019;1245;1500;Gaverhal;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;Mibac Middelkerke HSE A;19/01/2019;;1930;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
BC Kortrijk Sport HSE B;BBC Koksijde HSE A;03/02/2019;1305;1445;Sporthal Lange Munte;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;BT Holstra Wevelgem-Moorsele HSE A;09/02/2019;;1930;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;Basket Sijsele HSE B;16/02/2019;;1930;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
Basketclub Red Sharks Koekelare HSE A;BBC Koksijde HSE A;24/02/2019;1520;1700;Gemeentelijke Sporthal Koekelare;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;BC Crelan Kortrijk HSE A;02/03/2019;;1930;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
BBC Poperinge HSE A;BBC Koksijde HSE A;10/03/2019;1515;1700;Stedelijke Sporthal Poperinge;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;"""Au Pingouin"" Basket Blankenberge HSE A";16/03/2019;;1930;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
Wytewa Roeselare HSE A;BBC Koksijde HSE A;31/03/2019;1500;1700;Sporthal Schiervelde;1e Prov. Heren West-Vlaanderen
BBC Koksijde HSE A;KBBC Wikings Kortrijk HSE A;06/04/2019;;1930;Gemeentelijke sporthal Koksijde;1e Prov. Heren West-Vlaanderen
Racing Brugge HSE B;BBC Koksijde HSE A;13/04/2019;1630;1815;KTA Brugge;1e Prov. Heren West-Vlaanderen
