Thuisploeg;Uit;Datum;vertrekuur;aanvangsuur;zaal;Home;
Koninklijke BBC Oostkamp J21 A;BBC Koksijde HSE B;08/08/2018;1850;2000;De Valkaart;Koninklijke BBC Oostkamp;
BBC Koksijde HSE B;Bbv Oedelem HSE A;11/08/2018;;1630;Gemeentelijke sporthal Koksijde;BBC Koksijde;
BBC Spie Izegem HSE B;BBC Koksijde HSE B;12/08/2018;1500;1700;Sporthal Kachtem;BBC Spie Izegem;
BBC Koksijde HSE B;K-Basketteam Kortrijk HSE C;25/08/2018;;2000;Gemeentelijke sporthal Koksijde;BBC Koksijde;
KB Oostende Bredene HSE A;BBC Koksijde HSE B;01/09/2018;;0000;Ter Polder;KB Oostende Bredene;
BC Knokke-Heist HSE B;BBC Koksijde HSE B;08/09/2018;1615;1815;De Stormmeeuw;BC Knokke-Heist;
BBC Koksijde HSE B;Basketclub Red Sharks Koekelare HSE B;15/09/2018;;1800;Gemeentelijke sporthal Koksijde;BBC Koksijde;
Kon BC Gistel Oostende Duva Fruit HSE D;BBC Koksijde HSE B;22/09/2018;1900;2030;Sportcentrum Zomerloos Gistel;Kon BC Gistel Oostende Duva Fruit;
BBC Koksijde HSE B;Wytewa Roeselare HSE B;06/10/2018;;1730;Gemeentelijke sporthal Koksijde;BBC Koksijde;
A.C.J. Basket Brugge HSE B;BBC Koksijde HSE B;13/10/2018;1710;1900;Daverloo Park;A.C.J. Basket Brugge;
Basket Sijsele HSE C;BBC Koksijde HSE B;20/10/2018;1530;1730;Sportpark 't Veld;Basket Sijsele;
"""Au Pingouin"" Basket Blankenberge HSE B";BBC Koksijde HSE B;27/10/2018;1800;1800;Zaal d'Hoogploate;"""Au Pingouin"" Basket Blankenberge";
BBC Koksijde HSE B;BBC Poperinge HSE B;03/11/2018;;1800;Gemeentelijke sporthal Koksijde;BBC Koksijde;
BBC Koksijde HSE B;Wibac BBC Sint-Eloois-Winkel HSE B;17/11/2018;;1830;Gemeentelijke sporthal Koksijde;BBC Koksijde;
Mibac Middelkerke HSE B;BBC Koksijde HSE B;24/11/2018;1640;1815;Sporhal De Branding;Mibac Middelkerke;
BBC Koksijde HSE B;BT Holstra Wevelgem-Moorsele HSE B;01/12/2018;;1730;Gemeentelijke sporthal Koksijde;BBC Koksijde;
BBC Gullegem HSE A;BBC Koksijde HSE B;08/12/2018;1750;2000;Gemeentelijke Sporthal Gullegem;BBC Gullegem;
BBC Koksijde HSE B;Koninklijke Basket Avelgem HSE A;15/12/2018;;1800;Gemeentelijke sporthal Koksijde;BBC Koksijde;
BBC Koksijde HSE B;BC Knokke-Heist HSE B;05/01/2019;;1730;Gemeentelijke sporthal Koksijde;BBC Koksijde;
Basketclub Red Sharks Koekelare HSE B;BBC Koksijde HSE B;13/01/2019;1515;1700;Gemeentelijke Sporthal Koekelare;Basketclub Red Sharks Koekelare;
BBC Koksijde HSE B;Kon BC Gistel Oostende Duva Fruit HSE D;19/01/2019;;1730;Gemeentelijke sporthal Koksijde;BBC Koksijde;
Wytewa Roeselare HSE B;BBC Koksijde HSE B;03/02/2019;1300;1500;Sporthal Schiervelde;Wytewa Roeselare;
BBC Koksijde HSE B;A.C.J. Basket Brugge HSE B;09/02/2019;;1730;Gemeentelijke sporthal Koksijde;BBC Koksijde;
BBC Koksijde HSE B;Basket Sijsele HSE C;16/02/2019;;1730;Gemeentelijke sporthal Koksijde;BBC Koksijde;
BBC Poperinge HSE B;BBC Koksijde HSE B;24/02/2019;1315;1500;Stedelijke Sporthal Poperinge;BBC Poperinge;
BBC Koksijde HSE B;"""Au Pingouin"" Basket Blankenberge HSE B";02/03/2019;;1730;Gemeentelijke sporthal Koksijde;BBC Koksijde;
Wibac BBC Sint-Eloois-Winkel HSE B;BBC Koksijde HSE B;09/03/2019;1555;1800;Gemeentelijke Sporthal Sint-Eloois Winkel;Wibac BBC Sint-Eloois-Winkel;
BBC Koksijde HSE B;Mibac Middelkerke HSE B;16/03/2019;;1730;Gemeentelijke sporthal Koksijde;BBC Koksijde;
BT Holstra Wevelgem-Moorsele HSE B;BBC Koksijde HSE B;30/03/2019;1550;1800;Gemeentelijke Sporthal Moorsele;BT Holstra Wevelgem-Moorsele;
BBC Koksijde HSE B;BBC Gullegem HSE A;06/04/2019;;1730;Gemeentelijke sporthal Koksijde;BBC Koksijde;
Koninklijke Basket Avelgem HSE A;BBC Koksijde HSE B;13/04/2019;1700;1930;Gemeentelijke Sporthal Ter Muncken;Koninklijke Basket Avelgem;
