Thuis;Uit;Datum;vertrekuur;aanvangsuur;zaal;
BBC Koksijde HSE C;BBC Erembodegem HSE B;18/08/2018;;1800;Gemeentelijke sporthal Koksijde;BBC Koksijde OEFEN
Basket HEXIA ZwevegemDeerlijk HSE D;BBC Koksijde HSE C;09/09/2018;0850;1100;Gaverhal;4e Prov. Heren West-Vlaanderen A
BBC Koksijde HSE C;BC Knokke-Heist HSE C;16/09/2018;;1600;Gemeentelijke sporthal Koksijde;4e Prov. Heren West-Vlaanderen A
Kon BC Gistel Oostende Duva Fruit HSE G;BBC Koksijde HSE C;22/09/2018;1700;1830;Sportcentrum Zomerloos Gistel;4e Prov. Heren West-Vlaanderen A
BBC Koksijde HSE C;BC Kortrijk Sport HSE D;07/10/2018;;1600;Gemeentelijke sporthal Koksijde;4e Prov. Heren West-Vlaanderen A
Koninklijke Basket Avelgem HSE B;BBC Koksijde HSE C;13/10/2018;1445;1715;Gemeentelijke Sporthal Ter Muncken;4e Prov. Heren West-Vlaanderen A
Wytewa Roeselare HSE C;BBC Koksijde HSE C;20/10/2018;1630;1830;Sporthal Schiervelde;4e Prov. Heren West-Vlaanderen A
KBBC Wikings Kortrijk HSE B;BBC Koksijde HSE C;09/11/2018;1840;2045;Lagae Plein;4e Prov. Heren West-Vlaanderen A
BBC Koksijde HSE C;BBC Poperinge HSE C;18/11/2018;;1600;Gemeentelijke sporthal Koksijde;4e Prov. Heren West-Vlaanderen A
BBC Gullegem HSE B;BBC Koksijde HSE C;24/11/2018;1525;1730;Gemeentelijke Sporthal Gullegem;4e Prov. Heren West-Vlaanderen A
Racing Brugge HSE C;BBC Koksijde HSE C;01/12/2018;1430;1615;KTA Brugge;4e Prov. Heren West-Vlaanderen A
BC Knokke-Heist HSE C;BBC Koksijde HSE C;08/12/2018;1400;1600;De Stormmeeuw;4e Prov. Heren West-Vlaanderen A
BBC Koksijde HSE C;Basket HEXIA ZwevegemDeerlijk HSE D;15/12/2018;;1600;Gemeentelijke sporthal Koksijde;4e Prov. Heren West-Vlaanderen A
BBC Koksijde HSE C;Kon BC Gistel Oostende Duva Fruit HSE G;06/01/2019;;1600;Gemeentelijke sporthal Koksijde;4e Prov. Heren West-Vlaanderen A
BC Kortrijk Sport HSE D;BBC Koksijde HSE C;12/01/2019;1755;2000;Sporthal Lange Munte;4e Prov. Heren West-Vlaanderen A
BBC Koksijde HSE C;Koninklijke Basket Avelgem HSE B;20/01/2019;;1600;Gemeentelijke sporthal Koksijde;4e Prov. Heren West-Vlaanderen A
BBC Koksijde HSE C;Wytewa Roeselare HSE C;03/02/2019;;1600;Gemeentelijke sporthal Koksijde;4e Prov. Heren West-Vlaanderen A
BBC Koksijde HSE C;KBBC Wikings Kortrijk HSE B;17/02/2019;;1500;Gemeentelijke sporthal Koksijde;4e Prov. Heren West-Vlaanderen A
BBC Poperinge HSE C;BBC Koksijde HSE C;24/02/2019;1115;1300;Stedelijke Sporthal Poperinge;4e Prov. Heren West-Vlaanderen A
BBC Koksijde HSE C;BBC Gullegem HSE B;03/03/2019;;1600;Gemeentelijke sporthal Koksijde;4e Prov. Heren West-Vlaanderen A
BBC Koksijde HSE C;Racing Brugge HSE C;10/03/2019;;1600;Gemeentelijke sporthal Koksijde;4e Prov. Heren West-Vlaanderen A
