Subject,Start date,Start time,End Date,End Time,All Day Event,Private,Location,Description
H1 vs BBC Koksijde HSE ,08/03/2018,08:30 PM,08/03/2018,10:30 PM,FALSE,FALSE,,"Start match 2030
Zaal Gemeentelijke sporthal Koksijde"
H1 vs Basket Meetjesland HSE A,08/11/2018,08:30 PM,08/11/2018,10:30 PM,FALSE,FALSE,,"Start match 2030
Zaal Gemeentelijke sporthal Koksijde"
H1 vs Avanti Brugge,08/29/2018,08:30 PM,08/29/2018,10:30 PM,FALSE,FALSE,,"Start match 2030
Zaal Gemeentelijke sporthal Koksijde"
Vk Iebac Ieper HSE A vs H1,09/05/2018,08:00 PM,09/05/2018,10:00 PM,FALSE,FALSE,,"Vertrek 1815
Start match 2000
Zaal Zaal VK Iebac"
BC Knokke-Heist HSE A vs H1,09/08/2018,08:45 PM,09/08/2018,10:45 PM,FALSE,FALSE,,"Vertrek 1845
Start match 2045
Zaal De Stormmeeuw"
H1 vs Basket HEXIA ZwevegemDeerlijk HSE B,09/15/2018,08:30 PM,09/15/2018,10:30 PM,FALSE,FALSE,,"Start match 2030
Zaal Gemeentelijke sporthal Koksijde"
Mibac Middelkerke HSE A vs H1,09/22/2018,08:30 PM,09/22/2018,10:30 PM,FALSE,FALSE,,"Vertrek 1845
Start match 2030
Zaal Sporhal De Branding"
H1 vs BC Kortrijk Sport HSE B,10/06/2018,07:30 PM,10/06/2018,09:30 PM,FALSE,FALSE,,"Start match 1930
Zaal Gemeentelijke sporthal Koksijde"
BT Holstra Wevelgem-Moorsele HSE A vs H1,10/13/2018,08:15 PM,10/13/2018,10:15 PM,FALSE,FALSE,,"Vertrek 1815
Start match 2015
Zaal Evenementenhal De Schelp"
Basket Sijsele HSE B vs H1,10/20/2018,05:30 PM,10/20/2018,07:30 PM,FALSE,FALSE,,"Vertrek 1530
Start match 1730
Zaal Sportpark 't Veld"
1e BWVHSEPA vs H1,10/26/2018,12:00 AM,10/26/2018,Invalid Date,FALSE,FALSE,,"Start match 
Zaal "
H1 vs Basketclub Red Sharks Koekelare HSE A,11/03/2018,08:00 PM,11/03/2018,10:00 PM,FALSE,FALSE,,"Start match 2000
Zaal Gemeentelijke sporthal Koksijde"
BC Crelan Kortrijk HSE A vs H1,11/11/2018,05:00 PM,11/11/2018,07:00 PM,FALSE,FALSE,,"Vertrek 1450
Start match 1700
Zaal Sporthal Lange Munte"
H1 vs BBC Poperinge HSE A,11/17/2018,08:30 PM,11/17/2018,10:30 PM,FALSE,FALSE,,"Start match 2030
Zaal Gemeentelijke sporthal Koksijde"
"""Au Pingouin"" Basket Blankenberge HSE A" vs H1,11/24/2018,08:30 PM,11/24/2018,10:30 PM,FALSE,FALSE,,"Vertrek 1825
Start match 2030
Zaal Zaal d'Hoogploate"
H1 vs Wytewa Roeselare HSE A,12/01/2018,07:30 PM,12/01/2018,09:30 PM,FALSE,FALSE,,"Start match 1930
Zaal Gemeentelijke sporthal Koksijde"
KBBC Wikings Kortrijk HSE A vs H1,12/09/2018,10:30 AM,12/09/2018,12:30 PM,FALSE,FALSE,,"Vertrek 825
Start match 1030
Zaal Lagae Plein"
H1 vs Racing Brugge HSE B,12/15/2018,08:00 PM,12/15/2018,10:00 PM,FALSE,FALSE,,"Start match 2000
Zaal Gemeentelijke sporthal Koksijde"
H1 vs BC Knokke-Heist HSE A,01/05/2019,07:30 PM,01/05/2019,09:30 PM,FALSE,FALSE,,"Start match 1930
Zaal Gemeentelijke sporthal Koksijde"
Basket HEXIA ZwevegemDeerlijk HSE B vs H1,01/13/2019,03:00 PM,01/13/2019,05:00 PM,FALSE,FALSE,,"Vertrek 1245
Start match 1500
Zaal Gaverhal"
H1 vs Mibac Middelkerke HSE A,01/19/2019,07:30 PM,01/19/2019,09:30 PM,FALSE,FALSE,,"Start match 1930
Zaal Gemeentelijke sporthal Koksijde"
BC Kortrijk Sport HSE B vs H1,02/03/2019,02:45 PM,02/03/2019,04:45 PM,FALSE,FALSE,,"Vertrek 1305
Start match 1445
Zaal Sporthal Lange Munte"
H1 vs BT Holstra Wevelgem-Moorsele HSE A,02/09/2019,07:30 PM,02/09/2019,09:30 PM,FALSE,FALSE,,"Start match 1930
Zaal Gemeentelijke sporthal Koksijde"
H1 vs Basket Sijsele HSE B,02/16/2019,07:30 PM,02/16/2019,09:30 PM,FALSE,FALSE,,"Start match 1930
Zaal Gemeentelijke sporthal Koksijde"
Basketclub Red Sharks Koekelare HSE A vs H1,02/24/2019,05:00 PM,02/24/2019,07:00 PM,FALSE,FALSE,,"Vertrek 1520
Start match 1700
Zaal Gemeentelijke Sporthal Koekelare"
H1 vs BC Crelan Kortrijk HSE A,03/02/2019,07:30 PM,03/02/2019,09:30 PM,FALSE,FALSE,,"Start match 1930
Zaal Gemeentelijke sporthal Koksijde"
BBC Poperinge HSE A vs H1,03/10/2019,05:00 PM,03/10/2019,07:00 PM,FALSE,FALSE,,"Vertrek 1515
Start match 1700
Zaal Stedelijke Sporthal Poperinge"
H1 vs """Au Pingouin"" Basket Blankenberge HSE A",03/16/2019,07:30 PM,03/16/2019,09:30 PM,FALSE,FALSE,,"Start match 1930
Zaal Gemeentelijke sporthal Koksijde"
Wytewa Roeselare HSE A vs H1,03/31/2019,05:00 PM,03/31/2019,07:00 PM,FALSE,FALSE,,"Vertrek 1500
Start match 1700
Zaal Sporthal Schiervelde"
H1 vs KBBC Wikings Kortrijk HSE A,04/06/2019,07:30 PM,04/06/2019,09:30 PM,FALSE,FALSE,,"Start match 1930
Zaal Gemeentelijke sporthal Koksijde"
